"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S009","14/06/2025 17:25:45","6165","CAFE MUSUN SUAVE DISPEN 26X60X1.8GRS CAJA","0 | 12"
"S009","14/06/2025 21:20:18","3131","BEB V8 COCTEL FRUTAS 12X473ML FARDO","1 | 0"
"S009","14/06/2025 21:53:48","2598","HEAD SHOU/TR OLD SPICE 24X24X10ML CAJA","0 | 6"
"S009","14/06/2025 21:53:54","2681","HEAD SHOU/TR MANZANA 24X24X10ML CAJA","0 | 6"
"S009","14/06/2025 21:54:04","529","HEAD SHOU/TR PROTECC/CAIDA 24X24X10ML CAJA","0 | 6"
"S009","14/06/2025 21:54:18","68","HEAD SHOU/TR SUAV/MANEJAB 24X24X10ML CAJA","0 | 6"
"S009","14/06/2025 22:21:13","4355","KELLOGGS CHOCO KRISPIS 28X290GRS FARDO","0 | 6"
"S009","14/06/2025 22:25:23","6957","HIGIENICO OK PAPER 24X1U FARDO","1 | 0"
"S009","14/06/2025 23:44:35","4028","RUFO ADULTO 12X454GR FARDO","2 | 0"
"S009","14/06/2025 23:44:46","4171","RUFO ADULTO 1X44LBS SACO","2 | 0"
"S009","14/06/2025 23:45:04","4172","RUFO CACHORRO 1X44LBS SACO","0 | 10"
"S009","14/06/2025 23:45:28","5224","RUFO CACHORRO 12X420GRS FARDO","2 | 0"
"S009","14/06/2025 23:45:46","7304","RUFO ADULTO 10X2.2LBS FARDO","2 | 0"
"S009","14/06/2025 23:46:03","7305","RUFO CACHORRO 10X2.2LBS FARDO","0 | 10"
"S009","14/06/2025 23:51:23","5785","MAXI CHUCHO ADULTO 10X700GRS FARDO","3 | 0"
"S009","14/06/2025 23:51:30","6217","MAXI CHUCHITO CACHORRO 10X1LBS FARDO","3 | 0"
"S009","15/06/2025 13:11:26","1936","BEB RAP TOR 12X600ML FARDO","2 | 0"
"S009","15/06/2025 13:11:45","2013","BEB AMP ENERGY 12X600ML FARDO","2 | 0"
"S009","15/06/2025 15:24:43","3341","BAYGON OKO 12X400ML","3 | 0"
"S009","15/06/2025 15:24:48","1972","BAYGON PODER MORTAL 12X400ML CAJA","2 | 0"
"S009","15/06/2025 15:24:54","491","BAYGON VERDE 1X12X400ML CAJA","2 | 0"
"S009","15/06/2025 16:18:42","3049","ALUMINIO 12X200PIES CAJA","2 | 0"
"S009","15/06/2025 16:18:49","3865","ALUMINIO 24X25PIES CAJA","2 | 0"
"S009","15/06/2025 16:18:55","7086","ALUMINIO PERFECT WRAP 24X75PIES CAJA","1 | 0"
"S009","15/06/2025 17:33:14","1693","ACEITE MEDIO BIDON 25X375ML BIDON","0 | 5"
"S009","15/06/2025 17:33:21","5655","ACEITE BIDON CILINDRO 5X3750ML BIDON","0 | 5"
